game_id,date,white,black,white_elo,black_elo,time_control,termination,result,half_move,move,clock
03HdvBe4,2025-03-01,LucyferSam,olttt,1395,1489,300+0,Normal,1-0,1,e4,300
03HdvBe4,2025-03-01,LucyferSam,olttt,1395,1489,300+0,Normal,1-0,2,d6,300
03HdvBe4,2025-03-01,LucyferSam,olttt,1395,1489,300+0,Normal,1-0,3,d4,298
03HdvBe4,2025-03-01,LucyferSam,olttt,1395,1489,300+0,Normal,1-0,4,Nf6,299
03HdvBe4,2025-03-01,LucyferSam,olttt,1395,1489,300+0,Normal,1-0,5,Nc3,297
03HdvBe4,2025-03-01,LucyferSam,olttt,1395,1489,300+0,Normal,1-0,6,g6,298
03HdvBe4,2025-03-01,LucyferSam,olttt,1395,1489,300+0,Normal,1-0,7,Bg5,296
03HdvBe4,2025-03-01,LucyferSam,olttt,1395,1489,300+0,Normal,1-0,8,Bg7,297
03HdvBe4,2025-03-01,LucyferSam,olttt,1395,1489,300+0,Normal,1-0,9,Nf3,293
03HdvBe4,2025-03-01,LucyferSam,olttt,1395,1489,300+0,Normal,1-0,10,Nc6,295
03HdvBe4,2025-03-01,LucyferSam,olttt,1395,1489,300+0,Normal,1-0,11,Qd2,291
03HdvBe4,2025-03-01,LucyferSam,olttt,1395,1489,300+0,Normal,1-0,12,Bg4,291
03HdvBe4,2025-03-01,LucyferSam,olttt,1395,1489,300+0,Normal,1-0,13,O-O-O,289
03HdvBe4,2025-03-01,LucyferSam,olttt,1395,1489,300+0,Normal,1-0,14,Bxf3,289
03HdvBe4,2025-03-01,LucyferSam,olttt,1395,1489,300+0,Normal,1-0,15,gxf3,288
03HdvBe4,2025-03-01,LucyferSam,olttt,1395,1489,300+0,Normal,1-0,16,Qd7,289
03HdvBe4,2025-03-01,LucyferSam,olttt,1395,1489,300+0,Normal,1-0,17,e5,274
03HdvBe4,2025-03-01,LucyferSam,olttt,1395,1489,300+0,Normal,1-0,18,dxe5,277
03HdvBe4,2025-03-01,LucyferSam,olttt,1395,1489,300+0,Normal,1-0,19,d5,271
03HdvBe4,2025-03-01,LucyferSam,olttt,1395,1489,300+0,Normal,1-0,20,Nd4,268
03HdvBe4,2025-03-01,LucyferSam,olttt,1395,1489,300+0,Normal,1-0,21,f4,264
03HdvBe4,2025-03-01,LucyferSam,olttt,1395,1489,300+0,Normal,1-0,22,Nxd5,254
03HdvBe4,2025-03-01,LucyferSam,olttt,1395,1489,300+0,Normal,1-0,23,fxe5,230
03HdvBe4,2025-03-01,LucyferSam,olttt,1395,1489,300+0,Normal,1-0,24,Bxe5,251
03HdvBe4,2025-03-01,LucyferSam,olttt,1395,1489,300+0,Normal,1-0,25,Be3,217
03HdvBe4,2025-03-01,LucyferSam,olttt,1395,1489,300+0,Normal,1-0,26,c5,230
03HdvBe4,2025-03-01,LucyferSam,olttt,1395,1489,300+0,Normal,1-0,27,Bxd4,213
03HdvBe4,2025-03-01,LucyferSam,olttt,1395,1489,300+0,Normal,1-0,28,cxd4,216
03HdvBe4,2025-03-01,LucyferSam,olttt,1395,1489,300+0,Normal,1-0,29,Bb5,211
03HdvBe4,2025-03-01,LucyferSam,olttt,1395,1489,300+0,Normal,1-0,30,Bf4,205
03HdvBe4,2025-03-01,LucyferSam,olttt,1395,1489,300+0,Normal,1-0,31,Bxd7+,208
03HdvBe4,2025-03-01,LucyferSam,olttt,1395,1489,300+0,Normal,1-0,32,Kxd7,205
03HdvBe4,2025-03-01,LucyferSam,olttt,1395,1489,300+0,Normal,1-0,33,Nxd5,203
03HdvBe4,2025-03-01,LucyferSam,olttt,1395,1489,300+0,Normal,1-0,34,Bxd2+,203
03HdvBe4,2025-03-01,LucyferSam,olttt,1395,1489,300+0,Normal,1-0,35,Rxd2,202
03HdvBe4,2025-03-01,LucyferSam,olttt,1395,1489,300+0,Normal,1-0,36,Kd6,203
03HdvBe4,2025-03-01,LucyferSam,olttt,1395,1489,300+0,Normal,1-0,37,Nf4,193
03HdvBe4,2025-03-01,LucyferSam,olttt,1395,1489,300+0,Normal,1-0,38,e5,199
03HdvBe4,2025-03-01,LucyferSam,olttt,1395,1489,300+0,Normal,1-0,39,Nd3,178
03HdvBe4,2025-03-01,LucyferSam,olttt,1395,1489,300+0,Normal,1-0,40,Rhc8,194
03HdvBe4,2025-03-01,LucyferSam,olttt,1395,1489,300+0,Normal,1-0,41,Re1,176
03HdvBe4,2025-03-01,LucyferSam,olttt,1395,1489,300+0,Normal,1-0,42,Rc6,189
03HdvBe4,2025-03-01,LucyferSam,olttt,1395,1489,300+0,Normal,1-0,43,Nxe5,173
03HdvBe4,2025-03-01,LucyferSam,olttt,1395,1489,300+0,Normal,1-0,44,Rc7,171
03HdvBe4,2025-03-01,LucyferSam,olttt,1395,1489,300+0,Normal,1-0,45,Rxd4+,166
03HdvBe4,2025-03-01,LucyferSam,olttt,1395,1489,300+0,Normal,1-0,46,Kc5,170
03HdvBe4,2025-03-01,LucyferSam,olttt,1395,1489,300+0,Normal,1-0,47,Red1,164
03HdvBe4,2025-03-01,LucyferSam,olttt,1395,1489,300+0,Normal,1-0,48,Re8,164
03HdvBe4,2025-03-01,LucyferSam,olttt,1395,1489,300+0,Normal,1-0,49,Rc4+,145
03HdvBe4,2025-03-01,LucyferSam,olttt,1395,1489,300+0,Normal,1-0,50,Kb5,157
03HdvBe4,2025-03-01,LucyferSam,olttt,1395,1489,300+0,Normal,1-0,51,Rxc7,143
03HdvBe4,2025-03-01,LucyferSam,olttt,1395,1489,300+0,Normal,1-0,52,Rxe5,155
03HdvBe4,2025-03-01,LucyferSam,olttt,1395,1489,300+0,Normal,1-0,53,Rxb7+,141
03HdvBe4,2025-03-01,LucyferSam,olttt,1395,1489,300+0,Normal,1-0,54,Kc6,153
03HdvBe4,2025-03-01,LucyferSam,olttt,1395,1489,300+0,Normal,1-0,55,Rxa7,139
03HdvBe4,2025-03-01,LucyferSam,olttt,1395,1489,300+0,Normal,1-0,56,Re2,150
03HdvBe4,2025-03-01,LucyferSam,olttt,1395,1489,300+0,Normal,1-0,57,Rxf7,137
03HdvBe4,2025-03-01,LucyferSam,olttt,1395,1489,300+0,Normal,1-0,58,Kc5,147
03HdvBe4,2025-03-01,LucyferSam,olttt,1395,1489,300+0,Normal,1-0,59,Rxh7,133
03HdvBe4,2025-03-01,LucyferSam,olttt,1395,1489,300+0,Normal,1-0,60,Rxf2,145
03HdvBe4,2025-03-01,LucyferSam,olttt,1395,1489,300+0,Normal,1-0,61,Rg7,132
03HdvBe4,2025-03-01,LucyferSam,olttt,1395,1489,300+0,Normal,1-0,62,Rg2,144
03HdvBe4,2025-03-01,LucyferSam,olttt,1395,1489,300+0,Normal,1-0,63,b3,125
03HdvBe4,2025-03-01,LucyferSam,olttt,1395,1489,300+0,Normal,1-0,64,Rxh2,143
03HdvBe4,2025-03-01,LucyferSam,olttt,1395,1489,300+0,Normal,1-0,65,Kb2,124
03HdvBe4,2025-03-01,LucyferSam,olttt,1395,1489,300+0,Normal,1-0,66,Re2,141
03HdvBe4,2025-03-01,LucyferSam,olttt,1395,1489,300+0,Normal,1-0,67,Rxg6,121
03HdvBe4,2025-03-01,LucyferSam,olttt,1395,1489,300+0,Normal,1-0,68,Kb4,140
03HdvBe4,2025-03-01,LucyferSam,olttt,1395,1489,300+0,Normal,1-0,69,Rg4+,120
03HdvBe4,2025-03-01,LucyferSam,olttt,1395,1489,300+0,Normal,1-0,70,Kc5,139
03HdvBe4,2025-03-01,LucyferSam,olttt,1395,1489,300+0,Normal,1-0,71,Rf1,117
03HdvBe4,2025-03-01,LucyferSam,olttt,1395,1489,300+0,Normal,1-0,72,Re5,137
03HdvBe4,2025-03-01,LucyferSam,olttt,1395,1489,300+0,Normal,1-0,73,b4+,111
03HdvBe4,2025-03-01,LucyferSam,olttt,1395,1489,300+0,Normal,1-0,74,Kb5,133
03HdvBe4,2025-03-01,LucyferSam,olttt,1395,1489,300+0,Normal,1-0,75,Rfg1,103
03HdvBe4,2025-03-01,LucyferSam,olttt,1395,1489,300+0,Normal,1-0,76,Ka4,129
03HdvBe4,2025-03-01,LucyferSam,olttt,1395,1489,300+0,Normal,1-0,77,Rg5,99
03HdvBe4,2025-03-01,LucyferSam,olttt,1395,1489,300+0,Normal,1-0,78,Re4,115
03HdvBe4,2025-03-01,LucyferSam,olttt,1395,1489,300+0,Normal,1-0,79,a3,89
03HdvBe4,2025-03-01,LucyferSam,olttt,1395,1489,300+0,Normal,1-0,80,Rc4,110
03HdvBe4,2025-03-01,LucyferSam,olttt,1395,1489,300+0,Normal,1-0,81,"Ra5#",87
15oZEWxZ,2025-03-01,badapp,lard2901,1914,1933,180+0,Time forfeit,0-1,1,d4,180
15oZEWxZ,2025-03-01,badapp,lard2901,1914,1933,180+0,Time forfeit,0-1,2,Nf6,180
